Artificial Bids	10	A	1	NT Conventions (review)	In response to a 1- or 2NT opener, we use the _____ convention to show a 4-card major.	Stayman
Artificial Bids	10	A	2	NT Conventions (review)	In response to a 1- or 2NT opener, we use the _____ convention to show a 5+-card major.	Jacoby transfer
Artificial Bids	10	A	3	NT Conventions (review)	In response to a 1- or 2NT opener, we use the _____ convention to show a weak hand with a long major.  It is preemptive.	Texas transfer
Artificial Bids	10	A	4	NT Conventions (review)	When partner opens 1NT or 2NT, and your right hand opponents interferes, we use ______ to show that was a stolen bid.	double
Artificial Bids	10	A	5	NT Conventions (review)	The Jacoby and Texas transfer should be ______ by Partner, and the "stolen bid" doubles should be ______.	announced, alerted
Artificial Bids	10	B	1	Not Used Conventions	We do not use the artificial bid ______, which is a response to 1-of-a-major showing opening HCP and 4+ support.	splinter bids
Artificial Bids	10	B	2	Not Used Conventions	We do not use the artificial bid ______, which is a response to 1-of-a-major showing opening HCP and 4+ support.	new minor forcing
Artificial Bids	10	B	3	Not Used Conventions	We do not use the artificial bid ______, which is a response to 1-of-a-major showing opening HCP and 4+ support.	4th suit forcing
Artificial Bids	10	B	4	Not Used Conventions	We do not use the artificial bid ______, which is a response to 1-of-a-major showing opening HCP and 4+ support.	Lebensohl
Artificial Bids	10	B	5	Not Used Conventions	We do not use the artificial bid ______, which is a response to 1-of-a-major showing opening HCP and 4+ support.	support double
Defensive Bids	10	C	1	After Opponents Open	After opponents open 1NT, an overcall 2C, 2D, 2H, or 2S is ___	natural
Defensive Bids	10	C	2	After Opponents Open	A double after opponents open 1NT is ______.	for penalty
Defensive Bids	10	C	3	After Opponents Open	After opponent's TakeOut Double, a new suit is _______.	forcing if no jump
Defensive Bids	10	C	4	After Opponents Open	After opponent's TakeOut Double, a jump in a new suit is ______.	weak, preemptive
Defensive Bids	10	C	5	After Opponents Open	After opponents open a weak 2, 3, or 4, a double is for takeout through ______.	through 4D
Defensive Play	10	D	1	Defensive Play	General guideline, cover a(n) ______ honor with an honor.	unsupported
Defensive Play	10	D	2	Defensive Play	If an honor is led through you from a sequence of honors, try to cover the ______ honor with an honor.	last
Defensive Play	10	D	3	Defensive Play	Don't break new suits. The rule of thumb is "when a defender starts a new suit, it ______".	costs the defense 1 trick
Defensive Play	10	D	4	Defensive Play	What defensive strategy involves deliberately playing low to preserve an entry or block declarer.	Hold-Up Play
Defensive Play	10	D	5	Defensive Play	What defensive strategy is used to make the declarer misguess which defender holds a key card?	False Carding
Opening Lead	10	E	1	Opening Lead	In most cases, the preferred lead against both suits and NT, is Partner's ______	bid suit
Opening Lead	10	E	2	Opening Lead	Against a NT bid, if not leading Partner's suit, the preferred opening lead is top of a ______	3-card honor sequence
Opening Lead	10	E	3	Opening Lead	Against a NT bid, lead the top of touching honors from a ______	broken honor sequence
Opening Lead	10	E	4	Opening Lead	Against a NT bid, if no better option, usually lead the ______ down from your longest and strongest suit.	fourth
Opening Lead	10	E	5	Opening Lead	The opening lead of the fourth down vs NT helps Partner figure out Declarer's holding in that suit by the ______	Rule of 11
