Guidelines	6	A	1	Combined Hand Evaluation	Combined hands, in NT count _____ only, add ______ in a suit contract.	HCP, shortage points
Guidelines	6	A	2	Combined Hand Evaluation	Combined hands, ______ points to make game in a Major or NoTrump.	25
Guidelines	6	A	3	Combined Hand Evaluation	Combined hands, ______ points to make a small slam (12 tricks)	33
Guidelines	6	A	4	Combined Hand Evaluation	Combined hands, ______ points for game in a minor, and ______ a grand slam.	29, 37
Guidelines	6	A	5	Combined Hand Evaluation	The ______ says that the total number of tricks that can be won in a suit contract is equal to the total number of trump in the combined hands.	Law of Total Tricks
NoTrump Bids	6	B	1	2S Response to 1NT	1NT {2C overcall} 2D is a transfer 2 Hearts.  This is called ______.	systems on or "systems on over"
NoTrump Bids	6	B	2	2S Response to 1NT	Responding 2S to 1NT is a	relay to 3C = bust
NoTrump Bids	6	B	3	2S Response to 1NT	Responding 2S to 1NT shows _____ HCP.  ______.	0-5; ALERT required
NoTrump Bids	6	B	4	2S Response to 1NT	Responding 2S to 1NT shows a ______.	6+ card minor
NoTrump Bids	6	B	5	2S Response to 1NT	Responding 2S to 1NT is a _______ to either minor.	signoff
Minor Suit Bids	6	C	1	1 of a Minor Rebids	Minimum opener and non-forcing response, rebid ___.	pass
Minor Suit Bids	6	C	2	1 of a Minor Rebids	You open 1 of a minor with 16-17 HCP. To a response of 1 of a major, rebid a ______ raise, _____ suit, or ______NT.	limit raise, new suit, or 2NT
Minor Suit Bids	6	C	3	1 of a Minor Rebids	With a 17+ HCP 1 of a minor opener, you can rebid ______.	jump shift, reverse
Minor Suit Bids	6	C	4	1 of a Minor Rebids	If you open 1♣ and partner responds 1♦, what does a rebid of 1♠ show?	4+ spades and a minimum hand
Minor Suit Bids	6	C	5	1 of a Minor Rebids	If you open 1♣ and partner responds 1♦, what does a rebid of 1♠ show?	4+ spades and a minimum hand
Artificial Bids	6	D	1	Takeout Doubles	The original Double is included in bridge bidding to say "You opponents have overbid.  I will Double to increase the scoring ______".	penalty
Artificial Bids	6	D	2	Takeout Doubles	A Takeout Double is used more often than a penalty double.  It is artificial, forcing, and says "I have support for _____".	other suits
Artificial Bids	6	D	3	Takeout Doubles	A Takeout Double is typically used when the opponents have opened the bidding and you want to suggest playing in an ______ suit.	unbid
Artificial Bids	6	D	4	Takeout Doubles	We play that doubles at a low level (1- and 2- bids) are for takeout unless Partner has bid ______, except Negative Doubles.	her own suit
Artificial Bids	6	D	5	Takeout Doubles	A standard Takeout Double usually promises support for ______ unbid suits, and a Negative Double for ______ unbid suits, especially majors.	Sun Mar 02 2025 00:00:00 GMT-0600 (Central Standard Time)
Declarer Play	6	E	1	Declarer Play	To maintain the ability to get dummy on lead, keep ____	transportation
Declarer Play	6	E	2	Declarer Play	Clearing master cards from the short-side is _____	unblocking
Declarer Play	6	E	3	Declarer Play	What is the rule for deciding whether or not to finesse for a Queen?	8 ever, 9 never
Declarer Play	6	E	4	Declarer Play	What is the term for forcing defenders to discard valuable cards?	Squeeze play
Declarer Play	6	E	5	Declarer Play	What is the strategy of deliberately losing a trick to gain an advantage called?	Ducking
