Guidelines	4	A	1	"Golden" Guidelines	If Responder has not passed or bid NT, her new suit is ______. This is known as the Golden Rule of bidding.	forcing
Guidelines	4	A	2	"Golden" Guidelines	A "Golden Fit" is ______  or more trumps in the combined hands.	8
Guidelines	4	A	3	"Golden" Guidelines	"Treat partner and opponents with respect."  This is the "Golden Rule" of ______.	ethical play
Guidelines	4	A	4	"Golden" Guidelines	When you have two equal suits to open the bidding, follow the Golden Rule. Always bid the ______ suit first.	higher-ranking
Guidelines	4	A	5	"Golden" Guidelines	For both responses and rebids, among equal length suits, bid ______.	up-the-ladder
NoTrump Bids	4	B	1	Stayman Response	What is the primary purpose of the Stayman convention?	To find a 4-4 major suit fit
NoTrump Bids	4	B	2	Stayman Response	2C is the Stayman convention.  No ______ by the 1NT opener is needed.	alert or announcement
NoTrump Bids	4	B	3	Stayman Response	2C shows _______ HCP, and exactly a _______ Major.	8+; 4-card
NoTrump Bids	4	B	4	Stayman Response	What does a 2♦ response to Stayman indicate?	No 4-card major
NoTrump Bids	4	B	5	Stayman Response	What does a 2♦ rebid by the 1NT opener to Stayman indicate?	No 4-card major
Major Suit Bids	4	C	1	1 of a Major Responses	After ops overcall, a double raise is now a ______, ______ PPs and ______ of the major.	weak preempt, 4-7, 4+
Major Suit Bids	4	C	2	1 of a Major Responses	We play a ______ response of 2C to a 1 of a major opening. Opener must Alert.	2-way
Major Suit Bids	4	C	3	1 of a Major Responses	The hand may be a natural 2C response OR an ______ hand with _____ of the opened major.	opening, 4+
Major Suit Bids	4	C	4	1 of a Major Responses	The response is ______ of course, and opener should make her ______.	forcing, normal rebid
Major Suit Bids	4	C	5	1 of a Major Responses	On responder's rebid, she will ______ in the opened suit if 2C was not ______.	jump, natural
Minor Suit Bids	4	D	1	1 of a Minor Responses	About half of bridge Partnerships play a "jump shift" response as weak.  The opener shout _____ it.	alert
Minor Suit Bids	4	D	2	1 of a Minor Responses	Responding 1 of a minor - 3 of a minor is an ______ "limit raise".	invitational
Minor Suit Bids	4	D	3	1 of a Minor Responses	Responding 1 of a minor - 3 of a minor shows ______ PPs and ______ trump.	10-12, 5+
Minor Suit Bids	4	D	4	1 of a Minor Responses	A Double Raise response after opponents overcall shows ______ PPs and _____ of the minor.	5-7, 5+
Minor Suit Bids	4	D	5	1 of a Minor Responses	A cuebid over opponent's overcall (like 1C - {1H} - 2H) shows a ______.	Limit raise or better
2+-Level Openings	4	E	1	2+-Level Preempts	What is the general vulnerability guideline for preemptive bids?	Be more cautious when vulnerable
2+-Level Openings	4	E	2	2+-Level Preempts	What is the key feature of the long, strong suit for a preemptive bid?	2 of top 3, or 3 of top 5
2+-Level Openings	4	E	3	2+-Level Preempts	In which positions are preemptive bids most effective?	First and third positions
2+-Level Openings	4	E	4	2+-Level Preempts	What is the general rule of thumb for preemptive bidding in terms of losing trick count?	A hand with 7 or fewer losers
2+-Level Openings	4	E	5	2+-Level Preempts	In our system, 3- and 4-level openers are "______", just meaning nothing tricky.	sound
